title,url,content_type,source_url,description
Home,https://euraxess.ec.europa.eu/,navigation,https://euraxess.ec.europa.eu/worldwide/africa/news/over-20-fully-funded-phd-positions-available-top-ranked-european-universities,Website navigation element
Home,https://euraxess.ec.europa.eu/,navigation,https://euraxess.ec.europa.eu/worldwide/africa/news/over-20-fully-funded-phd-positions-available-top-ranked-european-universities,Website navigation element
About,https://europestudy.eu/about,navigation,https://europestudy.eu/programs/phd-program,Website navigation element
Home,https://europestudy.eu/,navigation,https://europestudy.eu/programs/phd-program,Website navigation element
About,https://europestudy.eu/about,navigation,https://europestudy.eu/programs/phd-program,Website navigation element
Contact,https://europestudy.eu/contact,navigation,https://europestudy.eu/programs/phd-program,Website navigation element
"Degree level guideLearn about Bachelor's, Master's, MBA and PhD degrees!Explore degrees",https://www.educations.com/study-guides/degree-guides-22381,blog_post,https://www.educations.com/phd/europe,General article or blog post
Bachelor's guide,https://www.educations.com/study-guides/bachelors,blog_post,https://www.educations.com/phd/europe,General article or blog post
Master's guide,https://www.educations.com/study-guides/masters,blog_post,https://www.educations.com/phd/europe,General article or blog post
MBA guide,https://www.educations.com/study-guides/mba,blog_post,https://www.educations.com/phd/europe,General article or blog post
PhD guide,https://www.educations.com/study-guides/phd,blog_post,https://www.educations.com/phd/europe,General article or blog post
👉  Browse all degree guides,https://www.educations.com/study-guides/degree-guides-22381,blog_post,https://www.educations.com/phd/europe,General article or blog post
How to get a scholarship,https://www.educations.com/articles-and-advice/how-to-get-a-scholarship-20540,blog_post,https://www.educations.com/phd/europe,General article or blog post
How to apply for scholarships,https://www.educations.com/articles-and-advice/how-to-apply-for-scholarships,blog_post,https://www.educations.com/phd/europe,General article or blog post
How to write a scholarship cover letter,https://www.educations.com/articles-and-advice/how-to-write-a-cover-letter-for-scholarship,blog_post,https://www.educations.com/phd/europe,General article or blog post
How to study abroad for free,https://www.educations.com/articles-and-advice/how-to-study-abroad-for-free,blog_post,https://www.educations.com/phd/europe,General article or blog post
Tips for getting the Swedish Institute Scholarship,https://www.educations.com/articles-and-advice/tips-for-applying-swedish-institute-scholarship-18580,blog_post,https://www.educations.com/phd/europe,General article or blog post
👉 See all scholarships tips,https://www.educations.com/articles-and-advice?category=scholarships,blog_post,https://www.educations.com/phd/europe,General article or blog post
How to study abroad,https://www.educations.com/articles-and-advice/how-to-study-abroad-14160,blog_post,https://www.educations.com/phd/europe,General article or blog post
How to apply for schools abroad,https://www.educations.com/articles-and-advice/how-to-apply-for-schools-abroad-12940,blog_post,https://www.educations.com/phd/europe,General article or blog post
Country guidesRead our in-depth guides for countries around the globe!Start exploring,https://www.educations.com/study-guides,blog_post,https://www.educations.com/phd/europe,General article or blog post
Field of study guides,https://www.educations.com/study-guides/subjects/guides-22562,blog_post,https://www.educations.com/phd/europe,General article or blog post
Degree guides,https://www.educations.com/study-guides/degree-guides-22381,blog_post,https://www.educations.com/phd/europe,General article or blog post
Scholarship guide,https://www.educations.com/articles-and-advice/how-to-get-a-scholarship-20540,blog_post,https://www.educations.com/phd/europe,General article or blog post
Study abroad guide,https://www.educations.com/articles-and-advice/how-to-study-abroad-14160,blog_post,https://www.educations.com/phd/europe,General article or blog post
Internship guide,https://www.educations.com/internships,blog_post,https://www.educations.com/phd/europe,General article or blog post
Online study guide,https://www.educations.com/study-guides/study-online,blog_post,https://www.educations.com/phd/europe,General article or blog post
👉 See all guides,https://www.educations.com/articles-and-advice/guides-for-study-abroad,blog_post,https://www.educations.com/phd/europe,General article or blog post
