title,url,content_type,source_url,description
About Canada,https://studying-in-canada.org/about-canada/,navigation,https://studying-in-canada.org/universities/,Website navigation element
About Canada,https://studying-in-canada.org/about-canada/,navigation,https://studying-in-canada.org/universities/,Website navigation element
About Canada,https://studying-in-canada.org/about-canada/,navigation,https://studying-in-canada.org/universities/,Website navigation element
About Wikipedia,https://en.wikipedia.org/wiki/Wikipedia:About,navigation,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Website navigation element
Contact us,https://en.wikipedia.org/wiki/Wikipedia:Contact_us,navigation,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Website navigation element
(Top),https://en.wikipedia.org/wiki/List_of_universities_in_Canada,blog_post,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,General article or blog post
1List of public universities,https://en.wikipedia.org/wiki/List_of_universities_in_Canada#List_of_public_universities,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
2List of private universities,https://en.wikipedia.org/wiki/List_of_universities_in_Canada#List_of_private_universities,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
List of private universities in Canada,https://en.wikipedia.org/wiki/List_of_private_universities_in_Canada,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
List of Canadian universities by endowment,https://en.wikipedia.org/wiki/List_of_Canadian_universities_by_endowment,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
List of universities and colleges by country,https://en.wikipedia.org/wiki/List_of_universities_and_colleges_by_country,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
Lists of universities and colleges,https://en.wikipedia.org/wiki/Lists_of_universities_and_colleges,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
List of unaccredited institutions of higher learning,https://en.wikipedia.org/wiki/List_of_unaccredited_institutions_of_higher_learning,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
"""A List of Universities in Canada""",https://canadianvisa.org/canada-immigration/study-in-canada/university-list,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
List of universities in  North America,https://en.wikipedia.org/wiki/List_of_universities_in_North_America,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
list of lists,https://en.wikipedia.org/wiki/Wikipedia:Lists_of_lists,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
https://en.wikipedia.org/w/index.php?title=List_of_universities_in_Canada&oldid=1292328542,https://en.wikipedia.org/w/index.php?title=List_of_universities_in_Canada&oldid=1292328542,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
Lists of education lists,https://en.wikipedia.org/wiki/Category:Lists_of_education_lists,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
Lists of universities and colleges in Canada,https://en.wikipedia.org/wiki/Category:Lists_of_universities_and_colleges_in_Canada,directory,https://en.wikipedia.org/wiki/List_of_universities_in_Canada,Directory or listing page
