organization_name,url,type,source_url,confidence_score,extraction_method,description
B.Tech Computer Science and Engineering,https://www.careers360.com/colleges/acropolis-institute-of-technology-and-research-indore/btech-computer-science-and-engineering-course,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.2,link_analysis,"B.Tech Computer Science and EngineeringB.E /B.Tech(12Courses) Ownership:PrivateIndore,Madhya PradeshRating:4.2/553 ReviewsAITR Indore - Acropolis Institute of Technology and Research, IndoreOwnership:PrivateIndore,Madhya PradeshRating:4.2/553 ReviewsCareers360Rating:AAACareers360Rating:AAAB.Tech Computer Science and EngineeringB.E /B.Tech(12Courses)"
"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune",https://www.careers360.com/colleges/abmsps-anantrao-pawar-college-of-engineering-and-research-pune,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.2,link_analysis,"APCOER Pune - ABMSP's Anantrao Pawar College of Engineering and Research, Pune"
"AITR Indore - Acropolis Institute of Technology and Research, Indore",https://www.careers360.com/colleges/acropolis-institute-of-technology-and-research-indore,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.2,link_analysis,"AITR Indore - Acropolis Institute of Technology and Research, Indore"
AcSIR Chennai - Academy of Scientific and Innovative Research Chennai,https://www.careers360.com/colleges/academy-of-scientific-and-innovative-research-chennai,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.2,link_analysis,"AcSIR Chennai - Academy of Scientific and Innovative Research Chennai AcSIR Chennai - Academy of Scientific and Innovative Research ChennaiOwnership:Public/GovtChennai,Tamil NaduRating:4.8/51 ReviewsAcSIR Chennai - Academy of Scientific and Innovative Research ChennaiOwnership:Public/GovtChennai,Tamil NaduRating:4.8/51 ReviewsM.Tech and Ph.D Engineering IntegratedFees :₹2.50 LakhsAdmissionsCoursesFacilitiesQnABrochureEnquireCompareAdmissionsCoursesFacilitiesQnA100+Brochures downloaded so far100+Brochures downloaded so far"
BE Computer Science and Engineering,https://www.careers360.com/colleges/acropolis-institute-of-technology-and-research-bhopal/be-computer-science-and-engineering-course,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.2,link_analysis,"BE Computer Science and EngineeringB.E /B.Tech(11Courses) Ownership:PrivateBhopal,Madhya PradeshRating:4.0/53 ReviewsAcropolis Institute of Technology and Research, BhopalOwnership:PrivateBhopal,Madhya PradeshRating:4.0/53 ReviewsBE Computer Science and EngineeringB.E /B.Tech(11Courses)"
"Acropolis Institute of Technology and Research, Bhopal",https://www.careers360.com/colleges/acropolis-institute-of-technology-and-research-bhopal,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.2,link_analysis,"Acropolis Institute of Technology and Research, Bhopal Acropolis Institute of Technology and Research, BhopalOwnership:PrivateBhopal,Madhya PradeshRating:4.0/53 ReviewsAcropolis Institute of Technology and Research, BhopalOwnership:PrivateBhopal,Madhya PradeshRating:4.0/53 ReviewsBE Computer Science and EngineeringB.E /B.Tech(11Courses)AdmissionsPlacementsCoursesFacilitiesQnABrochureEnquireCompareAdmissionsPlacementsCoursesFacilitiesQnA100+Brochures downloaded so far100+Brochures downloaded so far"
"Careers360.com - An Education Platform to Explore Colleges, Courses, Exams, Schools, Careers Options, and More!",https://www.careers360.com,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.2,structured_data,
Compare,https://www.careers360.com/compare-colleges?college=1397&icn=college-compare&ici=1397_college_listing_tuple,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.1,link_analysis,"BrochureEnquireCompare Ownership:Public/GovtChennai,Tamil NaduRating:4.8/51 ReviewsAcSIR Chennai - Academy of Scientific and Innovative Research ChennaiOwnership:Public/GovtChennai,Tamil NaduRating:4.8/51 ReviewsM.Tech and Ph.D Engineering IntegratedFees :₹2.50 LakhsAdmissionsCoursesFacilitiesQnABrochureEnquireCompare"
Compare,https://www.careers360.com/compare-colleges?college=5087&icn=college-compare&ici=5087_college_listing_tuple,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.1,link_analysis,"BrochureEnquireCompare Ownership:PrivateIndore,Madhya PradeshRating:4.2/553 ReviewsAITR Indore - Acropolis Institute of Technology and Research, IndoreOwnership:PrivateIndore,Madhya PradeshRating:4.2/553 ReviewsCareers360Rating:AAACareers360Rating:AAAB.Tech Computer Science and EngineeringB.E /B.Tech(12Courses)AdmissionsPlacementsCoursesFacilitiesQnABrochureEnquireCompare"
M.Tech and Ph.D Engineering Integrated,https://www.careers360.com/colleges/academy-of-scientific-and-innovative-research-chennai/mtech-and-phd-engineering-integrated-course,college,https://engineering.careers360.com/colleges/list-of-computer-science-engineering-colleges-in-india,1.1,link_analysis,"M.Tech and Ph.D Engineering IntegratedFees :₹2.50 Lakhs Ownership:Public/GovtChennai,Tamil NaduRating:4.8/51 ReviewsAcSIR Chennai - Academy of Scientific and Innovative Research ChennaiOwnership:Public/GovtChennai,Tamil NaduRating:4.8/51 ReviewsM.Tech and Ph.D Engineering IntegratedFees :₹2.50 Lakhs"
