organization_name,url,type,source_url,confidence_score,extraction_method,description
Official Documents,https://documents.ceu.edu/,university,https://www.ceu.edu/,1.2,link_analysis,CEU Policies Academic CalendarMoodle/E-LearningStudent Records Office (SRO)Career Services OfficeInstitutional CatalogCEU Policies
Career Services Office |,https://careercenter.ceu.edu/,university,https://www.ceu.edu/academics/degrees,1.2,link_analysis,Career Services Office Academic CalendarMoodle/E-LearningStudent Records Office (SRO)Career Services OfficeInstitutional CatalogCEU Policies
5667 PhD degrees (2025),https://www.phdstudies.com/,university,https://doctorateguru.com/phd-study-abroad/countries-for-online-phd-in-europe/,1.2,link_analysis,Find the best fit for you - Compare 5667 Doctors of Philosophy  (PhD) Degrees 2025
WUR,https://www.wur.nl/,university,https://thefoodscapescollective.com/2025/01/29/top-5-european-food-and-agriculture-programs/,1.2,link_analysis,"Wageningen University & Research doet wereldwijd onderzoek naar problemen in drie kerngebieden: voeding en voedselproductie, leefomgeving en gezondheid, leefstijl en levensomstandigheden."
One of the Most International Universities in Europe | Central European University,https://www.ceu.edu/,university,https://www.ceu.edu/,1.0,list_extraction,
European University Institute,https://www.eui.eu/,university,https://studyabroadnations.com/ph-d-programs-in-europe-with-scholarship/,1.0,link_analysis,"We are the European University Institute EUI, the leading institute in Europe dedicated to social sciences and humanities "
Units | CEU People,https://people.ceu.edu/,university,http://gender.ceu.edu/phd-program,1.0,link_analysis,
Welcome | HEC Paris,https://www.hec.edu/,university,https://studyabroadnations.com/ph-d-programs-in-europe-with-scholarship/,1.0,link_analysis,"A world-class business school, making an impact through an exclusive community of students, alumni, academics and global partners."
Events - Central European University,https://events.ceu.edu/,university,https://www.ceu.edu/,1.0,link_analysis,MethodsNET Summer School 2025 MethodsNET Summer School 2025
Department of Gender Studies,http://gender.ceu.edu/,university,http://gender.ceu.edu/phd-program,1.0,list_extraction,
Just a moment...,https://research.ceu.edu/,university,https://www.ceu.edu/,1.0,link_analysis,Research Portal CEU LibraryCEU PressBlinken OSA ArchivumPodcast LibraryResearch Portal
Oxford University Department for Continuing Education,https://www.conted.ox.ac.uk/,university,https://doctorateguru.com/phd-study-abroad/countries-for-online-phd-in-europe/,1.0,link_analysis,"Online courses, professional courses, weekly classes and summer schools for students looking for flexible and part-time study options at the University of Oxford."
CEULearning,https://ceulearning.ceu.edu/,university,https://www.ceu.edu/academics/degrees,1.0,link_analysis,Moodle/E-Learning Academic CalendarMoodle/E-LearningStudent Records Office (SRO)Career Services OfficeInstitutional CatalogCEU Policies
Study in Europe - Achieve Your Dreams with Europe Study,https://europestudy.eu/,university,https://europestudy.eu/programs/phd-program,1.0,list_extraction,"Discover top universities, courses, and personalized guidance for studying, working, and living in Europe with Europe Study. Turn your dream into reality today!"
Schools and Departments | Departments and Programs,https://courses.ceu.edu/,university,http://gender.ceu.edu/phd-program,1.0,link_analysis,MATILDA Program 1-year Masters Program2-year Masters ProgramMATILDA ProgramGEMMA / Erasmus MundusPhD Program
Politechnika Gdańska: Strona główna,https://pg.edu.pl/,university,https://studyabroadnations.com/ph-d-programs-in-europe-with-scholarship/,1.0,link_analysis,Here ClickHere
"Research centres at City, University of London | City St George's, University of London",https://researchcentres.city.ac.uk/,university,https://thefoodscapescollective.com/2025/01/29/top-5-european-food-and-agriculture-programs/,1.0,link_analysis,"Research centres at City, University of London."
Overseas Education & Study Abroad Consultants In India - Meridean Overseas,https://www.meridean.org/,university,https://www.meridean.org/blog/study-phd-in-europe-a-comprehensive-guide,0.8999999999999999,structured_data,"Looking for the best overseas education & study abroad consultants in India? Choose Meridean Overseas. Get 100% guidance for visas, universities, courses, etc."
Language selection | Research and innovation,https://research-and-innovation.ec.europa.eu/,university,https://euraxess.ec.europa.eu/worldwide/africa/news/over-20-fully-funded-phd-positions-available-top-ranked-european-universities,0.8999999999999999,link_analysis,"Current and upcoming funding opportunities for your research, as well as research partners, jobs and fellowships"
Home,https://shop.ceu.edu/,university,https://www.ceu.edu/academics/degrees,0.8,link_analysis,Shop AlumniIntranetGiveShop
Giving to CEU,https://giving.ceu.edu/,university,https://www.ceu.edu/academics/degrees,0.8,link_analysis,Give AlumniIntranetGiveShop
Berklee,https://www.berklee.edu/,university,https://studyabroadnations.com/ph-d-programs-in-europe-with-scholarship/,0.8,link_analysis,"Berklee is the premier institute of music and the performing arts, offering degrees at its campuses in Boston, New York City, and Valencia, Spain, and online."
Alumni Relations Office |,https://alumni.ceu.edu/,university,https://www.ceu.edu/academics/degrees,0.8,link_analysis,Alumni AlumniIntranetGiveShop
Start your application,https://sits.ceu.edu/,university,https://www.ceu.edu/,0.8,link_analysis,"Start your application Visit the official CEU online application site, submit your documents and pay an application fee. Once your application and the fee are received, you will be granted access to the Applicant Portal, where you can see the progress of your application.Start your application"
EURAXESS | Researchers in motion,https://euraxess.ec.europa.eu/,university,https://euraxess.ec.europa.eu/worldwide/africa/news/over-20-fully-funded-phd-positions-available-top-ranked-european-universities,0.7,list_extraction,"Explore academic positions and career development opportunities through Euraxess, a unique pan-European initiative, which implements the HRS4R Charter to deliver information and support-services to researchers worldwide."
Keystone Education Group - Homepage,https://www.keg.com/,university,https://www.educations.com/phd/europe,0.5,link_analysis,Discover the Keystone Education Group. 
Homepage - Commonwealth Scholarship Commission in the UK,https://cscuk.fcdo.gov.uk/,government,https://studyabroadnations.com/ph-d-programs-in-europe-with-scholarship/,0.5,link_analysis,The Commonwealth Scholarship Commission in the UK (CSC) provides the main UK government scholarship schemes
