organization_name,url,type,source_url,confidence_score,extraction_method,description
University Rankings,https://www.timeshighereducation.com/world-university-rankings/latest/world-ranking,university,https://www.timeshighereducation.com/student/best-universities/best-universities-japan,1.0,ner_guided,University identified by NER from search_result
University of Yamanashi,https://www.yamanashi.ac.jp/en/,university,https://shop.japantruly.com/blogs/learn/best-japanese-universities-international-students,1.0,link_analysis,University of Yamanashi University of YamanashiNational university56
Sophia University,https://www.sophia.ac.jp/,university,https://shop.japantruly.com/blogs/learn/best-japanese-universities-international-students,1.0,link_analysis,Sophia University Sophia UniversityPrivate research university124
University Review,https://www.universityreview.org/,university,https://www.universityreview.org/top-universities-asia/top-universities-japan/,1.0,ner_guided,University identified by NER from search_result
University of Tokyo,https://www.u-tokyo.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,University of Tokyo
Kyoto University,https://www.kyoto-u.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Kyoto University
Osaka University,https://www.osaka-u.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Osaka University
Tohoku University,https://www.tohoku.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Tohoku University
Hokkaido University,https://www.hokudai.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Hokkaido University
Kyushu University,https://www.kyushu-u.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Kyushu University
Keio University,https://www.keio.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Keio University
Kobe University,https://www.kobe-u.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Kobe University
Hiroshima University,https://www.hiroshima-u.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Hiroshima University
Chiba University,https://www.chiba-u.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Chiba University
Tokyo University of Foreign Studies,https://www.tufs.ac.jp/,university,https://eduinsightspk.com/best-universities-in-japan/,1.0,link_analysis,Tokyo University of Foreign Studies
